clv,Coverage,Gender,Income,Marital.Status,Monthly.Premium.Auto,Number.of.Open.Complaints,Number.of.Policies,Renew.Offer.Type,Total.Claim.Amount,Vehicle.Class
4499.493252,Extended,F,16969,Divorced,124,2,1,Offer1,704.768111,SUV
4059.567414,Premium,F,11621,Divorced,108,0,1,Offer1,518.4,Four-Door Car
4458.113369,Basic,M,17622,Divorced,65,1,3,Offer1,312,Four-Door Car
8110.333139,Premium,F,11489,Married,105,0,6,Offer1,504,Two-Door Car
3339.764873,Extended,M,0,Single,94,0,1,Offer1,863.327324,Two-Door Car
6613.973653,Basic,F,0,Single,63,0,2,Offer3,676.391482,Four-Door Car
2930.693543,Basic,M,33663,Married,73,0,1,Offer3,350.4,Four-Door Car
8672.194272,Basic,F,22547,Divorced,112,0,3,Offer1,537.6,SUV
11638.66926,Extended,F,61486,Married,97,0,2,Offer4,465.258644,Two-Door Car
6846.150323,Extended,F,0,Divorced,95,0,5,Offer1,456,Two-Door Car
11727.77648,Premium,F,29879,Married,102,0,2,Offer3,500.254235,Four-Door Car
2614.474305,Basic,M,65186,Married,65,0,1,Offer2,5.434505,Two-Door Car
2451.752695,Basic,M,26840,Married,64,2,1,Offer1,307.2,Four-Door Car
6781.270203,Basic,M,0,Single,104,1,5,Offer1,982.399613,Sports Car
4974.801539,Basic,M,75644,Divorced,65,3,9,Offer2,467.803638,Two-Door Car
8591.604933,Basic,M,38984,Married,73,0,2,Offer2,350.4,Four-Door Car
5592.161392,Basic,F,71811,Single,71,0,6,Offer2,29.03416,Four-Door Car
8009.472833,Basic,M,20961,Married,67,0,2,Offer2,321.6,Four-Door Car
11318.08982,Extended,M,38923,Married,99,2,2,Offer1,115.728852,Four-Door Car
8025.229358,Extended,F,0,Single,77,0,2,Offer3,25.807685,Two-Door Car
5780.182197,Basic,M,51066,Single,74,0,8,Offer2,787.993313,Four-Door Car
4118.539113,Basic,M,34378,Married,102,0,1,Offer3,489.6,SUV
2523.07015,Basic,M,43072,Married,63,0,1,Offer2,302.4,Four-Door Car
6554.216396,Extended,F,25222,Single,90,0,3,Offer2,475.623251,Four-Door Car
7703.397294,Basic,M,36765,Married,66,1,2,Offer1,320.849072,Four-Door Car
5926.729379,Extended,M,23091,Married,96,5,5,Offer1,460.8,Four-Door Car
2683.470677,Basic,F,48269,Married,69,3,1,Offer3,282.151207,Four-Door Car
2695.182419,Basic,F,32720,Divorced,67,0,1,Offer3,321.6,Four-Door Car
6047.02516,Extended,M,20396,Married,76,1,4,Offer1,364.8,Four-Door Car
13171.01282,Premium,M,21513,Married,119,1,2,Offer2,679.827592,Two-Door Car
10656.88195,Extended,F,72540,Married,88,0,2,Offer2,631.743039,Two-Door Car
2527.653796,Basic,F,80744,Married,63,0,1,Offer1,11.879037,Four-Door Car
2672.095756,Basic,M,52822,Married,67,0,1,Offer1,350.529033,Two-Door Car
5313.294035,Extended,F,0,Single,77,1,9,Offer1,863.3947,Four-Door Car
20946.19251,Basic,F,69738,Married,74,1,2,Offer1,492.127532,Four-Door Car
8375.353929,Basic,F,17780,Married,109,0,9,Offer1,132.588288,SUV
4801.661503,Basic,M,18107,Married,62,0,8,Offer1,297.6,Four-Door Car
5745.94334,Basic,F,57740,Married,74,3,9,Offer3,269.905129,Four-Door Car
6066.115969,Extended,M,32627,Married,76,0,7,Offer1,380.036697,Two-Door Car
8002.308333,Basic,F,0,Married,107,0,3,Offer1,513.6,SUV
2393.915369,Basic,M,0,Single,70,0,1,Offer1,425.266308,Four-Door Car
4762.8179,Basic,M,65795,Single,62,1,3,Offer3,49.011099,Two-Door Car
4330.38602,Premium,M,60475,Married,107,0,1,Offer2,513.6,Four-Door Car
9402.729769,Extended,F,0,Single,130,0,4,Offer1,936,SUV
6966.694527,Extended,F,41837,Married,88,0,9,Offer1,142.062768,Four-Door Car
7694.064293,Basic,F,32303,Married,65,0,2,Offer3,45.152521,Four-Door Car
8717.561149,Basic,M,0,Married,117,1,3,Offer1,561.6,SUV
5928.748528,Basic,F,40531,Married,74,0,9,Offer1,30.567357,Two-Door Car
2452.977288,Basic,M,79898,Married,62,1,1,Offer4,271.606799,Four-Door Car
6701.571657,Extended,M,56398,Married,85,0,7,Offer4,408,Four-Door Car
7556.24034,Extended,M,35257,Divorced,98,1,8,Offer2,470.4,Four-Door Car
8492.6988,Basic,M,27804,Married,109,0,7,Offer2,784.8,SUV
7713.494046,Basic,M,45506,Single,66,2,2,Offer1,316.8,Four-Door Car
7290.069769,Basic,M,0,Married,102,1,3,Offer1,489.6,SUV
4772.943848,Extended,M,20993,Divorced,133,0,1,Offer2,638.4,SUV
6806.491395,Extended,M,37839,Married,86,0,9,Offer2,465.633954,Two-Door Car
2469.781334,Basic,F,92711,Single,62,0,1,Offer3,368.400146,Two-Door Car
3103.923041,Extended,F,74665,Married,78,2,1,Offer2,236.902001,Four-Door Car
2981.875575,Extended,M,0,Married,83,0,1,Offer3,582.679087,Two-Door Car
8902.737595,Basic,M,46833,Married,112,0,9,Offer1,64.109663,Sports Car
5499.447223,Basic,F,88768,Married,68,0,7,Offer3,326.4,Two-Door Car
15023.59858,Basic,M,28262,Single,192,0,3,Offer3,921.6,Luxury SUV
2509.107875,Basic,F,33555,Married,63,0,1,Offer1,101.89645,Four-Door Car
3133.503432,Extended,F,58850,Single,78,0,1,Offer2,143.747794,Four-Door Car
3837.451863,Extended,M,21880,Married,97,0,1,Offer1,424.077159,Four-Door Car
11790.49617,Basic,M,25251,Divorced,66,0,2,Offer2,316.8,Four-Door Car
7838.068321,Basic,F,0,Married,69,0,2,Offer2,2.704934,Four-Door Car
4305.808345,Basic,M,24188,Married,109,0,1,Offer1,523.2,Sports Car
5973.976904,Basic,F,41611,Married,74,0,8,Offer1,113.801497,Four-Door Car
5670.442396,Basic,F,28406,Married,72,1,4,Offer1,192.87572,Four-Door Car
4731.749346,Premium,M,69833,Married,118,0,1,Offer1,828.662719,Four-Door Car
8026.379641,Basic,F,0,Single,74,0,2,Offer1,532.8,Four-Door Car
4022.963529,Basic,M,0,Single,117,0,1,Offer1,975.107098,SUV
9618.310865,Basic,F,80536,Married,119,0,3,Offer1,53.798708,Sports Car
2274.775451,Basic,F,0,Single,63,0,1,Offer2,606.642452,Four-Door Car
9552.926922,Extended,F,97732,Married,79,0,2,Offer4,289.9122,Four-Door Car
10388.55323,Extended,F,61222,Single,89,0,2,Offer3,392.604371,Four-Door Car
2470.121222,Basic,M,0,Single,74,0,1,Offer4,721.242206,Two-Door Car
5619.068508,Premium,M,50335,Married,140,0,1,Offer1,456.52385,SUV
9047.119209,Extended,F,0,Single,127,0,6,Offer3,1087.995426,Sports Car
6692.143668,Premium,M,63221,Married,168,0,1,Offer3,806.4,SUV
3731.504584,Extended,F,0,Married,96,0,1,Offer1,460.8,Four-Door Car
3660.770258,Extended,M,64495,Married,92,0,1,Offer4,251.992083,Four-Door Car
7928.829252,Basic,F,0,Married,72,0,2,Offer1,345.6,Four-Door Car
5011.751577,Basic,F,28859,Divorced,67,3,4,Offer1,321.6,Two-Door Car
7988.258292,Extended,F,77330,Married,99,0,3,Offer2,99.257608,Four-Door Car
3885.456401,Premium,M,0,Married,105,0,1,Offer1,504,Four-Door Car
2659.337982,Basic,M,24495,Single,70,0,1,Offer4,336,Four-Door Car
8564.768226,Basic,M,95697,Married,107,0,9,Offer2,178.006524,Sports Car
4885.162511,Extended,M,26372,Married,126,0,1,Offer4,604.8,SUV
9753.307106,Extended,F,17514,Married,127,0,3,Offer1,8.312729,SUV
2946.153697,Basic,F,89270,Single,74,0,1,Offer2,316.599228,Four-Door Car
2581.110945,Basic,M,29757,Married,65,0,1,Offer2,312,Four-Door Car
3517.385764,Extended,M,51814,Single,92,0,1,Offer3,56.300724,Four-Door Car
9743.350113,Extended,F,24028,Married,82,0,2,Offer2,393.6,Four-Door Car
3873.647046,Basic,M,28142,Married,105,0,1,Offer2,701.708239,Sports Car
7649.28199,Basic,F,52705,Married,64,1,2,Offer1,128.705563,Two-Door Car
2287.59692,Basic,M,0,Married,63,0,1,Offer2,679.368378,Two-Door Car
4475.424592,Basic,F,84903,Married,111,0,1,Offer1,497.126827,SUV
8714.922135,Basic,F,0,Divorced,118,0,4,Offer1,566.4,SUV
2248.449633,Basic,F,24910,Single,63,1,1,Offer1,347.857619,Four-Door Car
7416.197322,Extended,M,0,Single,77,2,2,Offer1,554.4,Four-Door Car
7771.158973,Basic,M,21876,Married,68,0,2,Offer1,465.41477,Four-Door Car
6968.3419,Basic,F,0,Single,69,1,2,Offer1,496.8,Four-Door Car
4250.282624,Basic,F,0,Single,61,1,7,Offer1,292.8,Four-Door Car
19776.56654,Extended,F,70699,Divorced,82,0,2,Offer3,256.813837,Four-Door Car
2413.139714,Basic,M,27501,Married,63,0,1,Offer4,542.319401,Four-Door Car
15363.84716,Premium,F,15897,Divorced,101,0,2,Offer2,303.148399,Four-Door Car
8456.961887,Basic,F,25141,Divorced,73,1,2,Offer3,25.438063,Four-Door Car
2189.642522,Basic,F,0,Married,61,3,1,Offer3,292.8,Four-Door Car
5780.182197,Basic,M,51066,Single,74,0,8,Offer2,787.993313,Four-Door Car
4639.981638,Basic,F,28358,Married,117,0,1,Offer2,84.024413,Sports Car
4465.335703,Basic,F,61846,Married,112,0,1,Offer2,215.8182,SUV
5968.118877,Basic,F,90972,Married,74,0,8,Offer2,232.926145,Two-Door Car
5097.763337,Basic,F,0,Single,74,0,7,Offer3,532.8,Two-Door Car
4076.634665,Basic,F,29549,Divorced,104,0,1,Offer2,710.433775,Sports Car
12252.60179,Premium,F,0,Married,115,1,2,Offer1,552,Four-Door Car
16936.27147,Extended,F,39411,Married,217,2,4,Offer3,1122.658899,Luxury Car
4892.435461,Basic,M,21709,Married,62,0,3,Offer2,408.374746,Four-Door Car
9942.304791,Extended,M,67890,Single,85,0,2,Offer4,408,Four-Door Car
3735.838129,Basic,M,0,Single,110,0,1,Offer1,792,SUV
13117.52215,Basic,F,84311,Single,111,4,2,Offer3,532.8,SUV
4574.524094,Basic,F,99316,Single,114,0,1,Offer2,754.358929,SUV
5470.060561,Extended,F,54507,Married,138,0,1,Offer2,702.990032,SUV
2978.84601,Extended,F,64586,Single,76,0,1,Offer3,206.837111,Four-Door Car
6410.967544,Extended,M,61709,Married,82,2,7,Offer3,275.395894,Four-Door Car
4479.023088,Basic,M,94656,Married,111,1,1,Offer4,459.738128,SUV
2383.731879,Basic,F,0,Single,69,0,1,Offer4,496.8,Two-Door Car
2764.493659,Basic,M,61085,Married,70,1,1,Offer2,336,Two-Door Car
7920.105377,Basic,F,89284,Married,67,3,2,Offer4,321.6,Two-Door Car
6889.097981,Basic,F,0,Divorced,63,0,2,Offer1,302.4,Four-Door Car
3274.194616,Extended,F,31686,Married,81,0,1,Offer1,430.994107,Four-Door Car
9951.707743,Premium,M,56855,Single,255,0,1,Offer4,1836,Luxury SUV
2521.555686,Basic,M,53703,Single,67,2,1,Offer1,67.632476,Four-Door Car
6047.02516,Extended,M,20396,Married,76,1,4,Offer1,364.8,Four-Door Car
11140.30248,Premium,F,27679,Single,150,0,3,Offer1,722.486994,SUV
4334.064096,Extended,F,23904,Single,123,3,1,Offer1,590.4,SUV
2799.74791,Basic,F,65351,Married,69,0,1,Offer2,481.027516,Four-Door Car
7923.136624,Basic,M,0,Single,113,0,7,Offer1,1124.427734,SUV
3688.110888,Basic,M,0,Single,63,3,7,Offer1,669.682001,Four-Door Car
12067.45599,Basic,M,0,Single,116,0,2,Offer1,1284.093173,SUV
2924.976721,Basic,F,64459,Married,72,0,1,Offer2,240.259479,Four-Door Car
15014.0927,Premium,M,32961,Married,190,0,3,Offer1,912,SUV
9277.233839,Basic,F,71416,Divorced,116,0,3,Offer2,556.8,SUV
6274.123875,Extended,F,68964,Married,78,0,3,Offer3,115.086827,Four-Door Car
3886.647414,Extended,M,78108,Single,98,0,1,Offer2,470.4,Two-Door Car
4386.277558,Basic,M,10621,Single,67,0,5,Offer1,321.6,Four-Door Car
11365.26766,Extended,M,84910,Married,95,0,2,Offer2,383.167471,Two-Door Car
5610.96434,Basic,F,77493,Single,70,0,3,Offer1,307.963291,Four-Door Car
2912.892035,Basic,M,81097,Divorced,74,0,1,Offer4,355.2,Four-Door Car
6915.729915,Extended,F,96610,Married,85,0,3,Offer4,520.364752,Four-Door Car
6262.663307,Premium,M,30110,Married,159,0,1,Offer4,466.436375,Sports Car
6503.397049,Extended,F,22081,Married,84,0,6,Offer1,451.670309,Two-Door Car
8007.399376,Basic,F,0,Divorced,112,0,3,Offer1,537.6,Sports Car
2929.916512,Basic,M,98473,Married,72,0,1,Offer2,345.6,Four-Door Car
5969.55297,Basic,F,97431,Married,74,0,3,Offer3,355.2,Four-Door Car
5473.15987,Basic,M,93870,Divorced,69,0,8,Offer1,331.2,Four-Door Car
5645.396665,Basic,M,50366,Divorced,72,0,9,Offer1,428.734656,Four-Door Car
6369.262355,Extended,M,34498,Single,83,0,7,Offer2,398.4,Two-Door Car
11833.76732,Basic,F,16552,Married,103,0,2,Offer2,494.4,SUV
6121.107929,Extended,F,26787,Married,77,0,5,Offer3,369.6,Four-Door Car
5159.369746,Basic,M,0,Single,74,0,9,Offer1,831.752839,Two-Door Car
2514.59196,Basic,F,43860,Single,65,0,1,Offer2,156.124914,Four-Door Car
8668.611261,Basic,M,21474,Married,114,2,9,Offer1,373.428187,SUV
4960.965384,Basic,M,18174,Married,66,0,9,Offer1,395.934815,Four-Door Car
5504.139033,Basic,F,0,Married,73,0,5,Offer1,350.4,Four-Door Car
7507.455372,Basic,M,60920,Single,64,0,2,Offer2,231.201886,Two-Door Car
5657.031588,Premium,F,0,Married,152,0,1,Offer1,729.6,SUV
5061.757902,Basic,M,0,Married,68,0,8,Offer3,326.4,Two-Door Car
5912.783829,Basic,M,72208,Married,73,0,8,Offer1,350.4,Two-Door Car
15182.27975,Basic,F,53863,Married,63,0,2,Offer1,105.765111,Four-Door Car
10747.03094,Extended,M,66446,Divorced,136,0,3,Offer2,639.464548,SUV
2050.623512,Basic,M,0,Single,61,0,1,Offer2,292.8,Four-Door Car
2465.444865,Basic,F,64997,Single,63,1,1,Offer2,383.442328,Four-Door Car
5343.121327,Basic,F,64460,Married,66,0,3,Offer2,316.8,Two-Door Car
8119.829071,Basic,F,46618,Married,67,0,2,Offer3,99.085943,Four-Door Car
4605.265164,Basic,F,0,Divorced,64,0,4,Offer1,307.2,Four-Door Car
6408.785577,Extended,M,49988,Married,84,5,5,Offer2,566.935022,Two-Door Car
2376.533508,Extended,F,0,Single,91,5,1,Offer1,436.8,Two-Door Car
3211.070017,Extended,M,16269,Divorced,86,0,1,Offer3,412.8,Two-Door Car
5094.522262,Basic,F,72006,Divorced,64,0,3,Offer4,307.2,Four-Door Car
8672.229719,Extended,M,0,Single,245,0,1,Offer1,2345.413441,Luxury SUV
8044.73072,Basic,M,44320,Married,67,0,2,Offer1,321.6,Four-Door Car
4001.519098,Premium,F,19782,Divorced,108,0,1,Offer3,773.470977,Two-Door Car
16706.11699,Basic,F,63933,Divorced,70,0,2,Offer1,424.883448,Two-Door Car
8544.411077,Basic,M,28224,Single,109,0,8,Offer1,523.2,SUV
7805.31287,Basic,F,21073,Divorced,106,1,3,Offer1,508.8,SUV
6112.756868,Extended,M,63243,Married,77,0,3,Offer4,364.240307,Four-Door Car
4772.943848,Extended,M,20993,Divorced,133,0,1,Offer2,638.4,SUV
10979.09559,Extended,F,94827,Married,135,0,4,Offer1,354.729129,SUV
5004.263818,Basic,F,39161,Married,63,1,4,Offer2,283.995953,Two-Door Car
13223.04379,Extended,M,37534,Married,84,2,2,Offer3,403.2,Four-Door Car
2623.31543,Basic,F,80210,Divorced,65,0,1,Offer1,20.543176,Four-Door Car
17840.19555,Basic,M,0,Married,62,0,2,Offer1,385.115437,Four-Door Car
5106.111827,Basic,F,30110,Married,64,0,5,Offer1,140.165035,Four-Door Car
17930.60451,Basic,F,21708,Divorced,68,0,2,Offer1,326.4,Four-Door Car
5457.342569,Basic,M,94731,Married,67,0,4,Offer2,321.6,Four-Door Car
6563.644143,Extended,M,32375,Married,83,0,6,Offer1,398.4,Four-Door Car
4812.525221,Basic,M,16531,Married,63,0,4,Offer1,102.879769,Four-Door Car
5773.520711,Basic,F,81676,Married,72,0,8,Offer1,463.158502,Two-Door Car
6847.1189,Extended,M,71038,Married,86,0,3,Offer4,205.444066,Four-Door Car
3595.31286,Basic,F,0,Single,103,0,1,Offer2,741.6,Sports Car
7859.414569,Basic,M,0,Single,113,0,7,Offer1,813.6,SUV
4115.577437,Premium,M,52405,Married,103,0,1,Offer4,494.4,Four-Door Car
5029.638777,Extended,F,0,Married,133,0,1,Offer1,795.864079,Sports Car
4821.418454,Extended,F,26583,Married,128,4,1,Offer2,614.4,SUV
5004.310469,Basic,M,25486,Married,65,0,3,Offer1,72.438681,Two-Door Car
8630.053943,Premium,M,24065,Divorced,111,0,5,Offer1,532.8,Four-Door Car
9322.08512,Premium,F,70435,Married,116,0,4,Offer3,67.881546,Four-Door Car
16727.56063,Extended,M,0,Single,76,2,2,Offer3,402.636829,Two-Door Car
3652.532435,Extended,F,39679,Married,92,0,1,Offer2,641.388616,Two-Door Car
6158.601171,Extended,M,0,Single,89,0,5,Offer1,342.481173,Four-Door Car
4376.083958,Basic,M,0,Married,69,4,3,Offer4,331.2,Two-Door Car
5569.456156,Basic,M,53565,Married,71,1,6,Offer1,340.8,Four-Door Car
2576.513006,Basic,M,37574,Married,66,1,1,Offer1,412.101933,Two-Door Car
8346.983233,Premium,M,48259,Single,108,0,3,Offer1,73.700573,Two-Door Car
6323.923864,Extended,F,78532,Married,78,0,3,Offer2,374.4,Four-Door Car
5973.14343,Basic,F,96163,Married,73,0,3,Offer1,350.4,Four-Door Car
4706.676993,Basic,M,0,Single,72,0,7,Offer1,345.6,Four-Door Car
8093.410258,Basic,M,0,Married,114,1,5,Offer1,722.024742,Sports Car
5035.744643,Basic,M,72672,Married,63,0,5,Offer2,259.361117,Four-Door Car
9027.867218,Premium,F,99002,Married,112,1,8,Offer3,537.6,Four-Door Car
7288.884849,Extended,M,79494,Married,91,0,3,Offer4,396.295614,Four-Door Car
18042.47942,Extended,M,35704,Married,225,0,8,Offer1,358.281562,Luxury Car
4992.063043,Basic,F,0,Single,71,0,3,Offer3,653.388564,Four-Door Car
9102.267849,Premium,F,26049,Married,118,0,6,Offer1,121.032372,Two-Door Car
2540.407726,Basic,M,70125,Single,64,0,1,Offer2,92.813396,Four-Door Car
12941.89193,Basic,M,52369,Married,110,1,2,Offer1,528,SUV
2365.348601,Basic,F,0,Married,66,2,1,Offer2,159.636956,Four-Door Car
5720.765064,Basic,M,41770,Married,72,0,9,Offer2,476.156957,Four-Door Car
7035.534088,Premium,M,0,Divorced,101,0,8,Offer3,727.2,Four-Door Car
2636.97773,Basic,M,31911,Married,67,0,1,Offer2,321.6,Four-Door Car
5395.831967,Basic,M,70051,Married,68,0,8,Offer4,42.078345,Four-Door Car
8382.630118,Basic,M,19683,Married,117,1,9,Offer1,561.6,Sports Car
2887.742258,Extended,F,0,Single,80,0,1,Offer1,676.944023,Four-Door Car
8714.922135,Basic,F,0,Divorced,118,0,4,Offer1,566.4,SUV
10272.6082,Extended,M,60145,Single,132,0,3,Offer3,580.473259,SUV
4376.363592,Premium,F,63774,Divorced,111,0,1,Offer2,60.036683,Four-Door Car
5318.89664,Basic,F,25134,Married,67,0,6,Offer2,321.6,Four-Door Car
4719.762191,Basic,M,37057,Married,61,1,6,Offer1,47.53101,Four-Door Car
4428.031583,Basic,F,58577,Married,110,0,1,Offer1,303.872752,SUV
5879.176092,Basic,M,85857,Married,73,0,6,Offer4,100.620067,Four-Door Car
9416.908485,Basic,F,70602,Married,116,0,3,Offer3,481.339891,SUV
8288.155579,Premium,F,33816,Divorced,106,2,3,Offer1,508.8,Four-Door Car
4719.450052,Extended,F,89642,Married,121,4,1,Offer3,86.320022,SUV
3903.474784,Extended,F,60068,Married,98,0,1,Offer2,470.4,Two-Door Car
5457.259678,Extended,F,50044,Single,139,0,1,Offer3,667.2,SUV
2725.356404,Basic,F,36650,Married,69,1,1,Offer2,56.60333,Four-Door Car
4433.97368,Basic,F,50653,Married,110,0,1,Offer4,262.865172,SUV
5332.462694,Basic,F,68931,Married,66,0,7,Offer2,309.577946,Four-Door Car
2315.094985,Basic,M,0,Single,73,1,1,Offer1,350.4,Four-Door Car
5411.953687,Basic,F,0,Single,73,0,5,Offer2,365.364581,Four-Door Car
9587.33234,Extended,M,39266,Married,80,0,2,Offer4,384,Four-Door Car
9764.945308,Extended,F,0,Single,98,1,2,Offer2,705.6,Four-Door Car
2567.151468,Basic,F,40864,Married,65,0,1,Offer2,9.51528,Four-Door Car
2650.622781,Basic,F,39035,Divorced,68,0,1,Offer2,244.564334,Four-Door Car
11264.36334,Extended,M,34923,Single,98,0,2,Offer1,639.105556,Two-Door Car
2168.523464,Basic,M,0,Single,63,0,1,Offer2,453.6,Four-Door Car
8610.667489,Basic,F,0,Married,111,0,9,Offer3,532.8,SUV
2834.646235,Basic,F,24506,Divorced,71,0,1,Offer1,511.2,Two-Door Car
8930.139728,Extended,M,0,Married,82,0,2,Offer4,554.522969,Four-Door Car
5536.386959,Basic,F,52220,Married,70,1,5,Offer1,336,Four-Door Car
2840.85429,Basic,M,0,Married,74,0,1,Offer1,402.449823,Two-Door Car
8082.880956,Basic,M,53554,Married,67,0,2,Offer1,327.020539,Four-Door Car
5254.734278,Basic,M,34476,Married,67,1,3,Offer4,5.3953,Four-Door Car
5116.237577,Basic,F,0,Married,70,0,5,Offer1,131.401291,Four-Door Car
3034.646997,Extended,M,68205,Married,76,0,1,Offer4,99.382943,Two-Door Car
8024.89992,Basic,F,0,Single,119,1,8,Offer3,856.8,SUV
18211.14319,Premium,M,53690,Married,154,0,2,Offer4,739.2,SUV
5121.563312,Basic,M,0,Single,72,0,5,Offer1,518.4,Four-Door Car
2150.178588,Basic,F,0,Single,61,0,1,Offer2,292.8,Four-Door Car
5595.389905,Basic,F,74454,Single,71,0,3,Offer2,340.8,Four-Door Car
7562.824036,Basic,F,0,Single,73,0,2,Offer2,350.4,Four-Door Car
5385.853211,Basic,M,29664,Married,71,0,3,Offer1,340.8,Four-Door Car
4718.558501,Basic,M,15680,Divorced,64,0,8,Offer4,260.879903,Four-Door Car
9422.567923,Extended,F,47272,Married,79,3,2,Offer1,64.546877,Four-Door Car
3605.860265,Extended,F,21585,Married,92,0,1,Offer4,441.6,Four-Door Car
7762.590564,Premium,F,23827,Married,106,2,3,Offer1,37.910623,Four-Door Car
2558.178159,Basic,F,0,Single,72,0,1,Offer1,345.6,Four-Door Car
5123.170887,Basic,F,89879,Married,63,0,3,Offer2,94.030308,Two-Door Car
2537.744494,Basic,F,0,Married,69,0,1,Offer4,331.2,Four-Door Car
2969.593296,Basic,M,46131,Married,74,0,1,Offer2,355.2,Two-Door Car
4363.124641,Basic,F,54514,Divorced,109,3,1,Offer2,286.234931,SUV
5884.308607,Premium,F,0,Single,161,0,1,Offer1,1159.2,SUV
5272.191556,Basic,F,96668,Single,66,0,3,Offer1,316.8,Four-Door Car
