track_popularity,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_m
low,pop,dance pop,0.805,0.835,0,-4.603,major,0.0896,0.13,5.03E-06,0.365,0.722,125.028,3.137166667
low,pop,dance pop,0.694,0.901,1,-4.322,minor,0.0948,0.0702,0,0.427,0.368,118.051,2.892466667
low,pop,dance pop,0.678,0.747,10,-5.289,minor,0.165,0.0395,0,0.174,0.516,120.002,3.15625
low,pop,dance pop,0.746,0.557,1,-6.722,major,0.0542,0.103,0.0036,0.138,0.324,111.961,2.656733333
low,pop,dance pop,0.467,0.821,7,-5.466,major,0.0934,0.00791,0.000441,0.131,0.232,122.676,3.089433333
high,pop,dance pop,0.572,0.934,6,-5.053,minor,0.0446,0.00292,0.0198,0.105,0.204,125.948,3.5873
low,pop,dance pop,0.708,0.913,9,-4.329,minor,0.0348,0.089,0.081,0.113,0.707,135.016,2.84445
low,pop,dance pop,0.684,0.818,4,-4.477,minor,0.128,0.0469,3.39E-06,0.119,0.336,123.938,3.516133333
high,pop,dance pop,0.732,0.85,1,-5.999,major,0.0444,0.114,2.02E-06,0.0388,0.372,124.024,3.2258
low,pop,dance pop,0.62,0.889,11,-3.785,major,0.0352,0.0163,1.86E-05,0.395,0.422,110.018,3.418216667
low,pop,dance pop,0.675,0.76,11,-7.037,major,0.0434,0.104,0,0.33,0.468,124.933,2.88
low,pop,dance pop,0.682,0.851,1,-7.117,minor,0.0363,0.0146,0.000834,0.0289,0.348,126,3.20635
low,pop,dance pop,0.663,0.905,1,-3.781,minor,0.0511,0.0325,0,0.333,0.397,125.996,2.916666667
low,pop,dance pop,0.625,0.938,6,-3.983,major,0.0517,0.00432,0.00026,0.0923,0.371,127.997,2.78125
low,pop,dance pop,0.679,0.909,1,-2.929,major,0.105,0.0334,0,0.269,0.819,119.885,2.584666667
low,pop,dance pop,0.641,0.869,11,-4.754,major,0.0423,0.0319,0.00131,0.403,0.358,128.091,2.96875
low,pop,dance pop,0.702,0.814,0,-7.51,minor,0.0841,0.107,3.03E-05,0.374,0.503,121.993,2.866666667
low,pop,dance pop,0.723,0.837,11,-6.487,major,0.0389,0.0103,0.000477,0.0834,0.643,123.952,2.951616667
low,pop,dance pop,0.742,0.864,0,-5.06,major,0.0976,0.00141,0.00467,0.241,0.727,125.032,2.83225
low,pop,dance pop,0.716,0.815,10,-4.121,major,0.0533,0.108,0,0.163,0.351,124.975,3.67355
low,pop,dance pop,0.748,0.831,1,-5.029,major,0.115,0.0823,7.36E-05,0.0757,0.894,128.024,3.087883333
low,pop,dance pop,0.816,0.833,5,-5.972,major,0.0511,0.126,9.09E-06,0.0625,0.793,122.032,2.836066667
low,pop,dance pop,0.633,0.854,0,-4.046,minor,0.0432,0.0382,2.83E-05,0.434,0.659,126.026,2.872666667
low,pop,dance pop,0.563,0.81,2,-2.921,major,0.0522,0.00522,0,0.0846,0.495,129.975,4.123083333
low,pop,dance pop,0.728,0.815,11,-2.878,minor,0.046,0.00223,0.000317,0.101,0.681,124.019,3.633583333
low,pop,dance pop,0.846,0.773,5,-3.503,major,0.0473,0.0141,2.23E-05,0.204,0.586,124.008,3.340733333
high,pop,dance pop,0.693,0.678,8,-7.159,major,0.0324,0.0154,6.05E-06,0.101,0.404,103.952,3.80445
low,pop,dance pop,0.678,0.928,3,-3.66,minor,0.0597,0.0303,3.33E-05,0.143,0.663,116.892,2.502666667
high,pop,dance pop,0.67,0.453,0,-11.265,major,0.295,0.252,0.33,0.117,0.68,135.055,3.247333333
low,pop,dance pop,0.755,0.931,1,-4.104,minor,0.0606,0.132,0.0271,0.0854,0.288,122.041,2.957766667
low,pop,dance pop,0.622,0.859,5,-7.626,major,0.0636,0.000609,0.746,0.0909,0.442,121.968,3.63955
low,pop,dance pop,0.789,0.893,10,-4.364,minor,0.168,0.0538,0,0.221,0.41,121.956,2.401216667
low,pop,dance pop,0.64,0.838,6,-4.203,major,0.0416,0.0588,1.99E-05,0.0424,0.587,124.081,3.231016667
low,pop,dance pop,0.609,0.764,5,-4.564,minor,0.111,0.0994,0,0.197,0.531,128.082,3.34375
low,pop,dance pop,0.64,0.992,4,-3.318,minor,0.0585,0.0832,0.0083,0.109,0.479,123.951,2.770616667
low,pop,dance pop,0.75,0.81,0,-4.607,minor,0.0572,0.0917,1.59E-05,0.111,0.48,120.038,2.858333333
low,pop,dance pop,0.535,0.956,1,-2.996,minor,0.0343,0.000609,0.0109,0.262,0.12,127.984,4.445316667
high,pop,dance pop,0.766,0.771,6,-9.108,major,0.0576,0.00407,3.76E-06,0.113,0.297,140.036,3.40045
low,pop,dance pop,0.649,0.821,10,-4.952,minor,0.0472,0.017,0.000347,0.0655,0.394,125.977,3.399466667
low,pop,dance pop,0.588,0.697,3,-4.744,minor,0.0372,0.186,0.000219,0.103,0.225,125.157,3.173616667
low,pop,dance pop,0.355,0.789,5,-4.358,minor,0.165,0.0148,0,0.0355,0.169,80.444,3.961433333
low,pop,dance pop,0.542,0.84,0,-5.283,minor,0.0419,0.0336,8.45E-05,0.277,0.509,118.02,3.006016667
low,pop,dance pop,0.735,0.5,8,-11.297,major,0.0511,0.415,3.12E-05,0.13,0.119,126.1,2.317466667
low,pop,dance pop,0.752,0.84,6,-4.451,minor,0.0373,0.00486,0.0109,0.0916,0.461,124.002,4.663333333
low,pop,dance pop,0.748,0.903,3,-5.877,minor,0.0385,0.0324,0,0.106,0.751,115.018,3.617383333
low,pop,dance pop,0.607,0.955,7,-3.613,minor,0.102,0.0163,0.121,0.0725,0.501,125.984,3.841266667
low,pop,dance pop,0.607,0.995,9,-2.325,minor,0.0487,0.0921,0.002,0.0445,0.664,124.998,3.144
low,pop,dance pop,0.679,0.786,1,-6.918,minor,0.132,0.119,5.89E-06,0.224,0.47,126.092,3.276883333
low,pop,dance pop,0.714,0.801,5,-5.8,minor,0.0301,0.0204,0.00615,0.334,0.292,124.015,3.5
low,pop,dance pop,0.69,0.862,2,-4.154,major,0.0944,0.0611,1.85E-05,0.238,0.453,121.975,3.13115
low,pop,dance pop,0.775,0.867,4,-7.388,minor,0.204,0.0158,0.0117,0.0355,0.565,128.956,4.553816667
low,pop,dance pop,0.814,0.838,11,-5.547,major,0.0763,0.001,0.0223,0.0185,0.959,121.978,4.26435
low,pop,dance pop,0.784,0.779,8,-5.48,major,0.0387,0.0357,0.025,0.0245,0.459,124.994,3.6119
low,pop,dance pop,0.367,0.783,6,-4.504,major,0.154,0.00515,0,0.0545,0.289,88.013,3.210883333
low,pop,dance pop,0.609,0.83,6,-3.759,minor,0.0793,0.201,6.18E-05,0.0321,0.604,117.833,3.974183333
low,pop,dance pop,0.591,0.702,7,-5.59,major,0.0289,0.225,0,0.414,0.501,104.003,3.62755
high,pop,dance pop,0.59,0.642,7,-3.87,major,0.122,0.0771,0,0.105,0.651,107.356,2.9074
high,pop,dance pop,0.791,0.565,5,-3.933,minor,0.0439,0.0623,0,0.156,0.181,99.961,2.605783333
high,pop,dance pop,0.564,0.747,5,-3.374,major,0.0584,0.0728,0,0.151,0.717,97.878,2.762783333
high,pop,dance pop,0.669,0.801,8,-5.445,major,0.136,0.268,0,0.0594,0.541,109.919,3.3512
high,pop,dance pop,0.77,0.882,8,-4.792,major,0.0602,0.194,0,0.316,0.385,99.991,3.725383333
high,pop,dance pop,0.513,0.788,0,-4.629,major,0.0364,0.00968,0,0.11,0.234,139.987,3.974316667
high,pop,dance pop,0.72,0.864,0,-3.249,major,0.208,0.0856,0,0.16,0.659,96.048,3.193533333
low,pop,dance pop,0.789,0.858,5,-4.388,major,0.0404,0.22,4.58E-05,0.335,0.491,110.012,2.890916667
low,pop,dance pop,0.294,0.505,3,-8.106,major,0.042,0.12,0,0.0977,0.357,85.332,3.498216667
high,pop,dance pop,0.665,0.799,6,-2.868,minor,0.0617,0.18,0,0.125,0.5,101.976,3.801866667
high,pop,dance pop,0.46,0.8,1,-3.584,major,0.05,0.289,6.16E-06,0.121,0.553,102.46,3.673266667
high,pop,dance pop,0.362,0.921,1,-3.815,minor,0.486,0.123,0,0.19,0.529,172.191,3.014
high,pop,dance pop,0.686,0.83,8,-4.437,major,0.0369,0.0948,1.33E-06,0.182,0.486,123.032,3.577233333
high,pop,dance pop,0.618,0.66,11,-8.14,minor,0.0372,0.0292,2.07E-06,0.325,0.408,105,3.515733333
high,pop,dance pop,0.665,0.699,11,-5.265,major,0.0578,0.423,0,0.0969,0.585,124.896,3.1822
high,pop,dance pop,0.661,0.725,6,-4.859,major,0.0563,0.0253,0,0.123,0.605,119.927,3.298983333
low,pop,dance pop,0.571,0.752,3,-4.872,major,0.0293,0.0196,6.92E-05,0.114,0.25,102.043,3.215683333
high,pop,dance pop,0.591,0.705,9,-6.519,minor,0.079,0.381,0.000116,0.131,0.27,121.799,3.5886
low,pop,dance pop,0.652,0.898,7,-4.481,minor,0.0361,0.29,0,0.073,0.472,114.043,3.22295
high,pop,dance pop,0.706,0.855,10,-5.377,major,0.215,0.0911,0,0.347,0.293,107.184,3.354216667
high,pop,dance pop,0.404,0.806,2,-4.75,major,0.0496,0.198,0,0.114,0.112,148.036,3.678833333
low,pop,dance pop,0.876,0.856,4,-3.884,major,0.0486,0.0812,1.29E-06,0.457,0.685,121.991,3.084366667
low,pop,dance pop,0.802,0.645,5,-6.181,minor,0.0715,0.272,0,0.119,0.376,100.001,2.620033333
low,pop,dance pop,0.906,0.832,5,-3.004,minor,0.0718,0.0909,0,0.152,0.751,104.03,2.66255
high,pop,dance pop,0.753,0.657,7,-3.061,major,0.0449,0.171,0,0.112,0.437,107.01,3.078866667
high,pop,dance pop,0.693,0.674,5,-4.449,major,0.0723,0.185,0,0.0639,0.378,95.972,2.6833
low,pop,dance pop,0.672,0.815,1,-6.476,minor,0.0981,0.00246,0,0.577,0.341,115.033,3.768216667
high,pop,dance pop,0.581,0.76,0,-3.962,major,0.0406,0.16,0,0.183,0.523,104.099,3.429783333
high,pop,dance pop,0.643,0.594,2,-5.453,major,0.0318,0.0128,0,0.118,0.442,144.033,3.611133333
high,pop,dance pop,0.674,0.881,9,-2.853,major,0.147,0.296,3.01E-06,0.0793,0.234,98.994,2.974666667
low,pop,dance pop,0.691,0.538,0,-9.952,major,0.103,0.246,0.163,0.178,0.329,99.972,3.044466667
low,pop,dance pop,0.661,0.758,7,-5.299,major,0.0864,0.0797,0,0.106,0.387,114.098,3.73435
low,pop,dance pop,0.653,0.69,1,-5.003,major,0.0756,0.109,0,0.136,0.652,110.214,2.975016667
high,pop,dance pop,0.734,0.693,0,-6.474,major,0.0361,0.0878,0,0.341,0.55,110.021,2.567066667
low,pop,dance pop,0.663,0.696,11,-5.994,major,0.0349,0.0563,6.25E-06,0.226,0.449,139.98,3.298
low,pop,dance pop,0.55,0.899,5,-3.284,minor,0.0458,0.0113,9.65E-05,0.137,0.408,125.85,2.83465
high,pop,dance pop,0.703,0.868,7,-4.661,minor,0.0291,0.15,0.132,0.104,0.733,121.03,3.226883333
high,pop,dance pop,0.44,0.635,11,-6.385,major,0.0326,0.129,0,0.121,0.327,128.133,3.451583333
high,pop,dance pop,0.625,0.707,2,-4.761,major,0.0337,0.22,0,0.213,0.479,138.064,4.135933333
low,pop,dance pop,0.625,0.719,4,-5.541,major,0.0612,0.048,0,0.0668,0.326,101.091,3.367866667
high,pop,dance pop,0.547,0.795,8,-3.721,major,0.0489,0.145,0,0.11,0.723,118.118,3.113416667
high,pop,dance pop,0.673,0.596,10,-7.891,major,0.0354,0.166,0,0.11,0.19,123.969,3.476116667
low,pop,dance pop,0.699,0.633,6,-6.547,major,0.0362,0.0453,0,0.101,0.458,123.449,3.07555
high,pop,dance pop,0.647,0.726,3,-4.389,minor,0.0552,0.157,0,0.0844,0.767,114.996,3.3166
high,pop,dance pop,0.588,0.67,0,-6.439,major,0.0473,0.0104,3.33E-06,0.338,0.505,118.159,3.96955
low,pop,dance pop,0.655,0.427,2,-11.684,minor,0.0799,0.295,0.00108,0.0788,0.224,107.992,3.590766667
low,pop,dance pop,0.79,0.865,6,-4.159,major,0.0438,0.0264,0.0892,0.24,0.362,122.99,3.15275
low,pop,dance pop,0.611,0.737,0,-5.154,minor,0.0476,0.0145,0,0.107,0.574,124.169,3.338633333
high,pop,dance pop,0.726,0.763,4,-6.872,major,0.0882,0.524,2.64E-06,0.0943,0.516,128.02,2.671866667
low,pop,dance pop,0.714,0.705,10,-6.479,major,0.0995,0.292,0.000386,0.126,0.471,114.994,3.658683333
low,pop,dance pop,0.619,0.938,5,-5.245,major,0.35,0.0257,1.39E-05,0.128,0.601,94.38,3.457133333
low,pop,dance pop,0.575,0.808,1,-4.578,major,0.0439,0.0446,0,0.0693,0.232,127.922,2.992183333
low,pop,dance pop,0.768,0.808,5,-1.818,major,0.112,0.00627,5.33E-06,0.343,0.664,119.971,2.766666667
low,pop,dance pop,0.767,0.605,6,-5.737,minor,0.188,0.559,0.000363,0.193,0.657,107.042,3.386666667
high,pop,dance pop,0.466,0.612,8,-4.855,minor,0.0307,0.0655,4.07E-06,0.132,0.236,128.114,3.98445
low,pop,dance pop,0.434,0.917,9,-3.613,minor,0.0633,0.301,1.80E-05,0.289,0.622,121.967,2.459233333
high,pop,dance pop,0.744,0.79,8,-4.617,minor,0.0562,0.0547,0.000802,0.32,0.847,125.002,3.144
low,pop,dance pop,0.837,0.818,8,-4.474,minor,0.0533,0.0527,0.00642,0.11,0.484,109.993,2.619316667
low,pop,dance pop,0.514,0.856,2,-4.285,major,0.0717,0.00123,6.34E-06,0.544,0.351,117.014,3.808366667
high,pop,dance pop,0.69,0.622,5,-5.025,minor,0.0622,0.253,0,0.116,0.544,102.04,3.501516667
low,pop,dance pop,0.466,0.869,3,-4.275,major,0.0529,0.0142,0.00241,0.115,0.185,126.113,3.119166667
high,pop,dance pop,0.842,0.801,8,-4.167,minor,0.228,0.157,4.82E-06,0.0642,0.617,95.881,3.541666667
high,pop,dance pop,0.748,0.524,8,-5.599,major,0.0338,0.414,0,0.111,0.661,95.01,4.082666667
low,pop,dance pop,0.647,0.624,9,-8.446,major,0.0451,0.025,0.056,0.0616,0.477,115.002,4.051516667
high,pop,dance pop,0.509,0.781,8,-3.48,major,0.072,0.0398,0,0.0749,0.176,128,4.523783333
high,pop,dance pop,0.737,0.636,11,-4.546,minor,0.0437,0.0441,6.66E-05,0.35,0.565,105.005,3.710883333
high,pop,dance pop,0.584,0.54,1,-7.786,minor,0.0576,0.0895,0,0.261,0.195,137.972,3.681383333
high,pop,dance pop,0.743,0.733,8,-5.337,major,0.0375,0.00402,0,0.304,0.622,104.977,3.157783333
high,pop,dance pop,0.721,0.716,10,-7.037,minor,0.0657,0.0334,0.00084,0.237,0.667,104.994,3.695233333
high,pop,dance pop,0.781,0.768,11,-5.991,major,0.0394,0.0119,4.91E-06,0.325,0.486,123.07,3.55515
high,pop,dance pop,0.737,0.828,11,-4.711,major,0.0396,0.0149,0.000583,0.0862,0.517,124.052,3.474566667
low,pop,dance pop,0.57,0.763,1,-4.137,major,0.0573,0.0857,2.49E-06,0.0932,0.43,150.088,3.99755
low,pop,dance pop,0.551,0.651,8,-5.828,minor,0.0594,0.225,0,0.224,0.562,144.875,3.24845
high,pop,dance pop,0.617,0.635,11,-6.769,minor,0.0317,0.0498,1.44E-05,0.164,0.446,103.019,4.119333333
high,pop,dance pop,0.791,0.862,9,-3.24,minor,0.11,0.037,2.19E-05,0.0814,0.592,123.994,3.580783333
high,pop,dance pop,0.503,0.748,5,-4.124,major,0.0619,0.0305,0,0.343,0.356,125.896,3.500216667
low,pop,dance pop,0.64,0.533,0,-6.596,major,0.0706,0.119,0,0.0864,0.515,99.968,3.679683333
low,pop,dance pop,0.658,0.677,5,-6.628,major,0.0393,0.248,0,0.368,0.248,124.91,4.193783333
high,pop,dance pop,0.649,0.716,8,-5.371,major,0.0349,0.0863,2.63E-05,0.135,0.163,99.988,3.43245
high,pop,dance pop,0.713,0.802,4,-7.055,major,0.0561,0.0435,0.00377,0.309,0.343,100.001,3.778983333
low,pop,dance pop,0.503,0.727,1,-5.456,major,0.167,0.0159,9.45E-05,0.0895,0.521,121.985,4.260533333
low,pop,dance pop,0.609,0.726,5,-4.346,minor,0.0414,0.0723,8.45E-06,0.0895,0.362,93.958,3.25
high,pop,dance pop,0.654,0.76,0,-3.669,minor,0.045,0.0797,0,0.299,0.41,99.945,3.34645
high,pop,dance pop,0.63,0.928,9,-2.787,minor,0.0331,0.199,0.124,0.148,0.465,123.963,3.702666667
high,pop,dance pop,0.532,0.783,2,-5.697,major,0.0523,0.0038,0.0012,0.161,0.643,124.08,4.123783333
high,pop,dance pop,0.694,0.77,6,-5.335,major,0.149,0.176,1.10E-05,0.118,0.163,125.905,3.076
low,pop,dance pop,0.604,0.787,0,-3.674,minor,0.103,0.0679,0.15,0.127,0.301,126.062,4.084
low,pop,dance pop,0.432,0.74,7,-5.053,major,0.062,0.0342,6.59E-06,0.14,0.193,139.42,4.042
low,pop,dance pop,0.638,0.832,8,-5.039,major,0.049,0.141,0,0.113,0.648,124.071,3.798216667
low,pop,dance pop,0.759,0.716,11,-6.36,minor,0.0818,0.0223,0,0.231,0.469,105.009,3.49555
low,pop,dance pop,0.614,0.832,11,-3.419,minor,0.0522,0.11,0,0.185,0.429,129.038,3.552816667
high,pop,dance pop,0.669,0.832,0,-5.72,major,0.0682,0.0106,0,0.0968,0.7,113.035,3.959116667
low,pop,dance pop,0.702,0.781,0,-4.081,major,0.03,0.433,0,0.135,0.382,102.997,4.772033333
low,pop,dance pop,0.851,0.806,4,-4.618,major,0.0786,0.12,1.33E-06,0.121,0.776,119.001,3.953333333
high,pop,dance pop,0.738,0.868,11,-4.373,minor,0.0731,0.0389,0.00171,0.388,0.336,122.003,3.544
high,pop,dance pop,0.57,0.672,8,-5.89,minor,0.0723,0.177,0,0.0768,0.448,120.019,3.470366667
low,pop,dance pop,0.67,0.89,5,-3.785,minor,0.0576,0.122,0,0.333,0.568,124.967,3.440666667
low,pop,dance pop,0.708,0.727,9,-7.647,major,0.0389,0.0201,0.676,0.37,0.512,120.012,3.858
low,pop,dance pop,0.654,0.787,4,-4.999,major,0.0502,0.00515,0,0.144,0.409,123.978,2.7415
low,pop,dance pop,0.945,0.584,6,-7.649,minor,0.044,0.0955,0.341,0.147,0.626,124.996,2.809116667
low,pop,dance pop,0.704,0.929,0,-4.447,major,0.0395,0.0395,0.0249,0.181,0.633,126.055,2.5873
high,pop,dance pop,0.765,0.906,8,-2.097,minor,0.0965,0.125,0,0.423,0.95,96.071,3.075966667
low,pop,dance pop,0.682,0.855,7,-3.282,major,0.0401,0.0566,1.00E-06,0.101,0.304,124.004,3.312383333
low,pop,dance pop,0.627,0.662,7,-7.104,minor,0.0349,0.0922,0.000166,0.143,0.596,124.039,2.653233333
low,pop,dance pop,0.762,0.736,7,-7.66,major,0.0778,0.135,0.0538,0.113,0.248,126.007,2.7619
low,pop,dance pop,0.577,0.844,7,-3.364,major,0.0406,0.00407,6.13E-06,0.499,0.283,115.066,3.060883333
low,pop,dance pop,0.632,0.816,8,-4.584,major,0.0349,0.00205,0.106,0.119,0.134,127.95,3.375
high,pop,dance pop,0.598,0.526,10,-8.659,minor,0.0415,0.129,0,0.14,0.529,123.935,2.80645
low,pop,dance pop,0.825,0.841,0,-6.433,major,0.135,0.0906,0.00411,0.258,0.616,126.026,3.076366667
low,pop,dance pop,0.63,0.731,6,-4.985,major,0.0352,0.0191,7.82E-06,0.704,0.46,119.997,4
high,pop,dance pop,0.795,0.899,0,-4.202,major,0.0685,0.00235,0.000392,0.199,0.329,125.978,3.313983333
low,pop,dance pop,0.529,0.717,6,-7.049,minor,0.24,0.123,0.000707,0.0363,0.481,103.99,4.29905
high,pop,dance pop,0.7,0.872,10,-5.896,major,0.0666,0.121,7.08E-06,0.103,0.761,125.03,3.1717
low,pop,dance pop,0.791,0.541,1,-7.14,major,0.054,0.123,4.74E-05,0.121,0.433,115.987,2.577566667
low,pop,dance pop,0.904,0.633,0,-5.545,major,0.0958,0.203,0.000266,0.163,0.492,121.995,2.9836
high,pop,dance pop,0.744,0.725,11,-6.055,major,0.0303,0.018,9.29E-06,0.212,0.904,118.034,2.79765
low,pop,dance pop,0.772,0.687,9,-6.348,minor,0.211,0.0528,0,0.834,0.59,118.116,2.571433333
low,pop,dance pop,0.706,0.524,6,-8.804,major,0.026,0.127,0.00129,0.109,0.296,111.991,3.05305
low,pop,dance pop,0.664,0.699,11,-7.115,minor,0.27,0.0352,0,0.0612,0.252,122.019,3.604266667
low,pop,dance pop,0.781,0.745,1,-4.942,minor,0.0374,0.0814,9.71E-05,0.106,0.498,110.051,2.63485
low,pop,dance pop,0.789,0.547,9,-8.738,minor,0.0748,0.072,9.21E-05,0.0782,0.48,120.024,3.387116667
low,pop,dance pop,0.575,0.808,1,-4.578,major,0.0439,0.0446,0,0.0693,0.232,127.922,2.992183333
high,pop,dance pop,0.669,0.797,9,-5.68,minor,0.0624,0.259,0,0.199,0.552,119.865,3.09905
low,pop,dance pop,0.567,0.946,5,-2.245,minor,0.0541,0.0978,1.37E-06,0.0836,0.295,104.983,3.472783333
low,pop,dance pop,0.653,0.757,3,-3.642,major,0.0555,0.0997,0,0.242,0.233,128.015,3.40985
low,pop,dance pop,0.721,0.779,6,-4.239,minor,0.0606,0.142,0,0.143,0.327,110.026,2.832733333
low,pop,dance pop,0.534,0.765,1,-3.151,major,0.0338,0.0915,0.00107,0.225,0.117,127.978,2.875333333
high,pop,dance pop,0.651,0.693,4,-4.722,major,0.0375,0.458,0,0.335,0.392,118.97,3.946083333
low,pop,dance pop,0.682,0.923,0,-3.273,major,0.0364,0.00395,3.00E-05,0.242,0.37,130.052,2.55385
low,pop,dance pop,0.66,0.827,10,-5.081,major,0.0789,0.429,0,0.0923,0.611,115.349,2.787483333
low,pop,dance pop,0.57,0.965,6,-4.881,minor,0.0348,0.00108,0.523,0.201,0.148,123.008,4.863083333
low,pop,dance pop,0.608,0.918,0,-1.137,minor,0.0684,0.199,0,0.309,0.422,126.022,3.033333333
low,pop,dance pop,0.561,0.562,9,-11.431,minor,0.15,0.062,0,0.118,0.244,151.631,4.03975
low,pop,dance pop,0.591,0.88,4,-5.153,minor,0.223,0.0804,0,0.326,0.482,127.013,2.960633333
high,pop,dance pop,0.626,0.8,1,-3.988,minor,0.035,0.0267,0.000138,0.0623,0.258,127.966,2.669733333
low,pop,dance pop,0.745,0.8,11,-5.606,minor,0.0361,0.0209,0.000479,0.113,0.314,122.008,3.41155
low,pop,dance pop,0.66,0.857,2,-5.219,major,0.321,0.167,1.36E-05,0.119,0.233,130.069,3.752666667
low,pop,dance pop,0.53,0.729,0,-6.019,major,0.0376,0.00699,0,0.103,0.219,139.929,3.9723
low,pop,dance pop,0.552,0.887,1,-3.812,major,0.147,0.0457,0.0207,0.0903,0.783,125.229,2.186733333
low,pop,dance pop,0.471,0.911,2,-4.372,minor,0.0594,0.0316,0.00648,0.571,0.197,126.112,2.833333333
high,pop,dance pop,0.747,0.776,10,-5.898,minor,0.0722,0.0233,1.38E-05,0.761,0.67,125.07,2.45045
high,pop,dance pop,0.712,0.664,11,-8.026,major,0.0345,0.0416,0.000104,0.0668,0.781,122.014,3.408566667
high,pop,dance pop,0.733,0.859,9,-5.03,minor,0.033,0.479,0.0645,0.105,0.52,124.948,2.464
low,pop,dance pop,0.517,0.793,6,-5.851,minor,0.0367,0.0214,0.00046,0.0892,0.176,90.06,2.622216667
low,pop,dance pop,0.675,0.674,4,-6.329,major,0.0372,0.00339,8.55E-05,0.279,0.414,125.037,3.344
high,pop,dance pop,0.818,0.823,11,-3.563,minor,0.2,0.0663,1.17E-05,0.133,0.52,128.136,2.6799
low,pop,dance pop,0.639,0.591,7,-3.905,minor,0.0344,0.128,6.69E-06,0.159,0.305,128.002,3.75
low,pop,dance pop,0.535,0.906,6,-4.699,minor,0.0353,0.0202,0.000715,0.0886,0.732,126.012,2.97785
high,pop,dance pop,0.784,0.721,8,-5.457,major,0.0506,0.0149,0.00424,0.285,0.895,121.966,2.936983333
low,pop,dance pop,0.809,0.758,4,-5.658,minor,0.101,0.409,0.000544,0.166,0.71,125.022,2.3705
low,pop,dance pop,0.669,0.793,1,-6.16,major,0.0403,0.0318,0.0372,0.555,0.159,121.995,3.670083333
low,pop,dance pop,0.578,0.786,9,-4.665,major,0.13,0.232,0.000106,0.122,0.347,105.945,2.98585
low,pop,dance pop,0.733,0.839,1,-2.84,minor,0.0335,0.0145,0.000187,0.162,0.471,126.009,3.72555
low,pop,dance pop,0.63,0.726,0,-3.753,major,0.0978,0.0717,0,0.108,0.499,122.055,3.274583333
low,pop,dance pop,0.845,0.766,2,-5.727,minor,0.0658,0.212,0,0.111,0.782,114.054,3.2654
low,pop,dance pop,0.679,0.866,2,-3.754,major,0.0566,0.0337,0,0.0688,0.441,121.927,3.065566667
low,pop,dance pop,0.657,0.882,0,-3.565,minor,0.0456,0.247,0.00202,0.112,0.179,127.994,3.25
low,pop,dance pop,0.493,0.773,5,-3.791,minor,0.157,0.429,7.07E-06,0.0807,0.301,123.149,3.2258
low,pop,dance pop,0.687,0.706,4,-5.357,major,0.0459,0.091,0,0.124,0.27,115.268,2.130433333
low,pop,dance pop,0.654,0.874,6,-3.885,major,0.0543,0.169,1.77E-06,0.134,0.542,119.85,3.067116667
low,pop,dance pop,0.661,0.758,7,-5.299,major,0.0864,0.0797,0,0.106,0.387,114.098,3.73435
low,pop,dance pop,0.447,0.684,9,-4.721,minor,0.09,0.175,0,0.478,0.437,125.655,2.921866667
low,pop,dance pop,0.731,0.802,5,-4.763,major,0.0623,0.022,0,0.059,0.434,121.991,2.9836
low,pop,dance pop,0.489,0.766,3,-5.84,major,0.0851,0.0511,1.35E-05,0.126,0.117,121.445,3.177416667
